invigilator_id,session_id
CB001,20260518_5
CB002,20260518_5
CB003,20260519_5
CB004,20260519_5
CB005,20260519_5
CB004,20260521_5
CB005,20260521_5
CB002,20260522_5
CB006,20260522_5
CB002,20260523_3
CB003,20260523_3
CB004,20260523_3
CB005,20260523_3
CB007,20260523_3
CB008,20260523_3
CB009,20260525_2
CB010,20260525_2
CB011,20260525_2
CB012,20260525_2
CB013,20260525_2
CB014,20260525_2
CB015,20260525_2
CB016,20260525_2
CB017,20260525_2
CB018,20260525_2
CB019,20260525_2
CB020,20260525_2
CB021,20260525_2
CB022,20260525_2
CB023,20260525_2
CB024,20260525_2
CB025,20260525_2
CB001,20260525_5
CB002,20260525_5
CB004,20260525_5
CB003,20260526_5
CB005,20260526_5
CB025,20260527_2
CB026,20260527_2
CB027,20260527_4
CB002,20260527_5
CB003,20260527_5
CB004,20260527_5
CB028,20260527_5
CB029,20260528_1
CB029,20260528_2
CB007,20260528_3
CB010,20260528_3
CB012,20260528_3
CB026,20260528_3
CB030,20260528_3
CB031,20260528_3
CB032,20260528_3
CB033,20260528_3
CB034,20260528_3
CB035,20260528_3
CB036,20260528_3
CB037,20260528_3
CB038,20260528_3
CB039,20260528_3
CB040,20260528_3
CB010,20260528_4
CB003,20260528_5
CB005,20260528_5
CB010,20260528_5
CB008,20260529_1
CB010,20260529_1
CB014,20260529_1
CB020,20260529_1
CB022,20260529_1
CB027,20260529_1
CB028,20260529_1
CB029,20260529_1
CB039,20260529_1
CB041,20260529_1
CB042,20260529_1
CB043,20260529_1
CB044,20260529_1
CB045,20260529_1
CB046,20260529_1
CB047,20260529_1
CB048,20260529_1
CB049,20260529_1
CB050,20260529_1
CB051,20260529_1
CB052,20260529_1
CB053,20260529_1
CB054,20260529_1
CB055,20260529_1
CB056,20260529_1
CB057,20260529_1
CB058,20260529_1
CB059,20260529_1
CB060,20260529_1
CB061,20260529_1
CB062,20260529_1
CB063,20260529_1
CB027,20260529_2
CB027,20260529_3
CB003,20260529_5
CB004,20260529_5
CB064,20260529_5
CB001,20260530_2
CB004,20260530_2
CB065,20260530_2
CB066,20260530_2
CB001,20260530_3
CB004,20260530_3
CB065,20260530_3
CB066,20260530_3
CB001,20260531_2
CB002,20260531_2
CB006,20260531_2
CB066,20260531_2
CB001,20260531_3
CB002,20260531_3
CB006,20260531_3
CB066,20260531_3
CB028,20260601_1
CB006,20260601_2
CB008,20260601_2
CB010,20260601_2
CB014,20260601_2
CB016,20260601_2
CB018,20260601_2
CB019,20260601_2
CB020,20260601_2
CB028,20260601_2
CB032,20260601_2
CB039,20260601_2
CB041,20260601_2
CB043,20260601_2
CB044,20260601_2
CB046,20260601_2
CB048,20260601_2
CB049,20260601_2
CB050,20260601_2
CB051,20260601_2
CB052,20260601_2
CB053,20260601_2
CB055,20260601_2
CB056,20260601_2
CB057,20260601_2
CB058,20260601_2
CB059,20260601_2
CB060,20260601_2
CB061,20260601_2
CB062,20260601_2
CB065,20260601_2
CB067,20260601_2
CB068,20260601_2
CB006,20260601_3
CB008,20260601_3
CB014,20260601_3
CB018,20260601_3
CB019,20260601_3
CB029,20260601_3
CB032,20260601_3
CB039,20260601_3
CB041,20260601_3
CB043,20260601_3
CB044,20260601_3
CB046,20260601_3
CB048,20260601_3
CB050,20260601_3
CB051,20260601_3
CB052,20260601_3
CB053,20260601_3
CB055,20260601_3
CB056,20260601_3
CB057,20260601_3
CB058,20260601_3
CB059,20260601_3
CB060,20260601_3
CB061,20260601_3
CB062,20260601_3
CB065,20260601_3
CB067,20260601_3
CB068,20260601_3
CB029,20260601_4
CB005,20260601_5
CB027,20260602_1
CB011,20260602_2
CB012,20260602_2
CB013,20260602_2
CB015,20260602_2
CB016,20260602_2
CB017,20260602_2
CB018,20260602_2
CB019,20260602_2
CB021,20260602_2
CB023,20260602_2
CB024,20260602_2
CB025,20260602_2
CB026,20260602_2
CB027,20260602_2
CB030,20260602_2
CB031,20260602_2
CB033,20260602_2
CB034,20260602_2
CB035,20260602_2
CB036,20260602_2
CB037,20260602_2
CB038,20260602_2
CB040,20260602_2
CB042,20260602_2
CB044,20260602_2
CB045,20260602_2
CB047,20260602_2
CB051,20260602_2
CB068,20260602_2
CB069,20260602_2
CB070,20260602_2
CB071,20260602_2
CB011,20260602_3
CB012,20260602_3
CB013,20260602_3
CB015,20260602_3
CB016,20260602_3
CB017,20260602_3
CB018,20260602_3
CB019,20260602_3
CB021,20260602_3
CB023,20260602_3
CB024,20260602_3
CB025,20260602_3
CB026,20260602_3
CB030,20260602_3
CB031,20260602_3
CB033,20260602_3
CB034,20260602_3
CB035,20260602_3
CB036,20260602_3
CB037,20260602_3
CB038,20260602_3
CB040,20260602_3
CB042,20260602_3
CB044,20260602_3
CB045,20260602_3
CB047,20260602_3
CB051,20260602_3
CB067,20260602_3
CB068,20260602_3
CB069,20260602_3
CB070,20260602_3
CB071,20260602_3
CB011,20260602_4
CB023,20260602_4
CB030,20260602_4
CB031,20260602_4
CB033,20260602_4
CB034,20260602_4
CB035,20260602_4
CB036,20260602_4
CB037,20260602_4
CB038,20260602_4
CB040,20260602_4
CB042,20260602_4
CB045,20260602_4
CB069,20260602_4
CB070,20260602_4
CB003,20260602_5
CB005,20260602_5
CB008,20260603_1
CB014,20260603_1
CB018,20260603_1
CB020,20260603_1
CB022,20260603_1
CB025,20260603_1
CB026,20260603_1
CB030,20260603_1
CB034,20260603_1
CB039,20260603_1
CB041,20260603_1
CB043,20260603_1
CB046,20260603_1
CB048,20260603_1
CB050,20260603_1
CB051,20260603_1
CB052,20260603_1
CB053,20260603_1
CB054,20260603_1
CB055,20260603_1
CB056,20260603_1
CB057,20260603_1
CB058,20260603_1
CB059,20260603_1
CB060,20260603_1
CB061,20260603_1
CB062,20260603_1
CB063,20260603_1
CB065,20260603_1
CB067,20260603_1
CB071,20260603_1
CB008,20260603_2
CB014,20260603_2
CB018,20260603_2
CB020,20260603_2
CB022,20260603_2
CB025,20260603_2
CB026,20260603_2
CB030,20260603_2
CB034,20260603_2
CB039,20260603_2
CB041,20260603_2
CB043,20260603_2
CB046,20260603_2
CB048,20260603_2
CB050,20260603_2
CB051,20260603_2
CB052,20260603_2
CB053,20260603_2
CB054,20260603_2
CB055,20260603_2
CB056,20260603_2
CB057,20260603_2
CB058,20260603_2
CB059,20260603_2
CB060,20260603_2
CB061,20260603_2
CB062,20260603_2
CB063,20260603_2
CB065,20260603_2
CB067,20260603_2
CB071,20260603_2
CB007,20260603_3
CB011,20260603_3
CB012,20260603_3
CB013,20260603_3
CB015,20260603_3
CB016,20260603_3
CB017,20260603_3
CB018,20260603_3
CB019,20260603_3
CB021,20260603_3
CB022,20260603_3
CB023,20260603_3
