shift_description,date,start_time,end_time,duration_minutes,shift_id,task,invigilator_id,weekday,campus
"Thứ 2, 18/05/2026, Ca 5: 18g15-20g45",2026-05-18,18:15,20:45,150,20260518_5,LTK_CBCT,CB001,Thứ 2,Cơ sở 1
"Thứ 2, 18/05/2026, Ca 5: 18g15-20g45",2026-05-18,18:15,20:45,150,20260518_5,LTK_CBCT,CB002,Thứ 2,Cơ sở 1
"Thứ 3, 19/05/2026, Ca 5: 18g15-20g45",2026-05-19,18:15,20:45,150,20260519_5,LTK_CBCT,CB003,Thứ 3,Cơ sở 1
"Thứ 3, 19/05/2026, Ca 5: 18g15-20g45",2026-05-19,18:15,20:45,150,20260519_5,LTK_CBCT,CB004,Thứ 3,Cơ sở 1
"Thứ 3, 19/05/2026, Ca 5: 18g15-20g45",2026-05-19,18:15,20:45,150,20260519_5,LTK_CBCT,CB005,Thứ 3,Cơ sở 1
"Thứ 5, 21/05/2026, Ca 5: 18g15-20g45",2026-05-21,18:15,20:45,150,20260521_5,LTK_CBCT,CB004,Thứ 5,Cơ sở 1
"Thứ 5, 21/05/2026, Ca 5: 18g15-20g45",2026-05-21,18:15,20:45,150,20260521_5,LTK_CBCT,CB005,Thứ 5,Cơ sở 1
"Thứ 6, 22/05/2026, Ca 5: 18g15-20g45",2026-05-22,18:15,20:45,150,20260522_5,LTK_CBCT,CB002,Thứ 6,Cơ sở 1
"Thứ 6, 22/05/2026, Ca 5: 18g15-20g45",2026-05-22,18:15,20:45,150,20260522_5,LTK_CBCT,CB006,Thứ 6,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23,13:00,15:30,150,20260523_3,LTK_CBCT,CB007,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23,13:00,15:30,150,20260523_3,LTK_CBCT,CB008,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23,13:00,15:30,150,20260523_3,LTK_CBCT,CB005,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23,13:00,15:30,150,20260523_3,LTK_CBCT,CB002,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23,13:00,15:30,150,20260523_3,LTK_CBCT,CB003,Thứ 7,Cơ sở 1
"Thứ 7, 23/05/2026, Ca 3: 13g00-15g30",2026-05-23,13:00,15:30,150,20260523_3,LTK_CBCT,CB004,Thứ 7,Cơ sở 1
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB009,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB010,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB011,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB012,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB013,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB014,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB015,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB016,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB017,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB018,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB019,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB020,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB021,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB022,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB023,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_CBCT,CB024,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 2: 09g30-12g00",2026-05-25,09:30,12:00,150,20260525_2,DiAn_Thư ký,CB025,Thứ 2,Cơ sở 2
"Thứ 2, 25/05/2026, Ca 5: 18g15-20g45",2026-05-25,18:15,20:45,150,20260525_5,LTK_CBCT,CB001,Thứ 2,Cơ sở 1
