session_id,code_date,code_shift,date_matches,shift_matches,start_time,duration,assigned_invigilators,campuses,is_multi_campus
20260518_5,20260518,5,True,True,18g15,150,2,['Cơ sở 1'],False
20260519_5,20260519,5,True,True,18g15,150,3,['Cơ sở 1'],False
20260521_5,20260521,5,True,True,18g15,150,2,['Cơ sở 1'],False
20260522_5,20260522,5,True,True,18g15,150,2,['Cơ sở 1'],False
20260523_3,20260523,3,True,True,13g00,150,6,['Cơ sở 1'],False
20260525_2,20260525,2,True,True,09g30,150,17,['Cơ sở 2'],False
20260525_5,20260525,5,True,True,18g15,150,3,['Cơ sở 1'],False
20260526_5,20260526,5,True,True,18g15,150,2,['Cơ sở 1'],False
20260527_2,20260527,2,True,True,09g30,150,2,['Cơ sở 2'],False
20260527_4,20260527,4,True,True,15g30,150,1,['Cơ sở 1'],False
20260527_5,20260527,5,True,True,18g15,150,4,['Cơ sở 1'],False
20260528_1,20260528,1,True,True,07g00,150,1,['Cơ sở 1'],False
20260528_2,20260528,2,True,True,09g30,150,1,['Cơ sở 1'],False
20260528_3,20260528,3,True,True,13g00,150,15,"['Cơ sở 1', 'Cơ sở 2']",True
20260528_4,20260528,4,True,True,15g30,150,1,['Cơ sở 1'],False
20260528_5,20260528,5,True,True,18g15,150,3,['Cơ sở 1'],False
20260529_1,20260529,1,True,True,07g00,150,32,"['Cơ sở 1', 'Cơ sở 2']",True
20260529_2,20260529,2,True,True,09g30,150,1,['Cơ sở 1'],False
20260529_3,20260529,3,True,True,13g00,150,1,['Cơ sở 1'],False
20260529_5,20260529,5,True,True,18g15,150,3,['Cơ sở 1'],False
20260530_2,20260530,2,True,True,09g30,150,4,['Cơ sở 1'],False
20260530_3,20260530,3,True,True,13g00,150,4,['Cơ sở 1'],False
20260531_2,20260531,2,True,True,09g30,150,4,['Cơ sở 1'],False
20260531_3,20260531,3,True,True,13g00,150,4,['Cơ sở 1'],False
20260601_1,20260601,1,True,True,07g00,150,1,['Cơ sở 2'],False
20260601_2,20260601,2,True,True,09g30,150,32,['Cơ sở 2'],False
20260601_3,20260601,3,True,True,13g00,150,28,['Cơ sở 2'],False
20260601_4,20260601,4,True,True,15g30,150,1,['Cơ sở 2'],False
20260601_5,20260601,5,True,True,18g15,150,1,['Cơ sở 1'],False
20260602_1,20260602,1,True,True,07g00,150,1,['Cơ sở 2'],False
20260602_2,20260602,2,True,True,09g30,150,32,['Cơ sở 2'],False
20260602_3,20260602,3,True,True,13g00,150,32,['Cơ sở 2'],False
20260602_4,20260602,4,True,True,15g30,150,15,['Cơ sở 2'],False
20260602_5,20260602,5,True,True,18g15,150,2,['Cơ sở 1'],False
20260603_1,20260603,1,True,True,07g00,150,31,['Cơ sở 2'],False
20260603_2,20260603,2,True,True,09g30,150,31,['Cơ sở 2'],False
20260603_3,20260603,3,True,True,13g00,150,31,['Cơ sở 2'],False
20260603_4,20260603,4,True,True,15g30,150,21,['Cơ sở 2'],False
20260604_1,20260604,1,True,True,07g00,150,10,['Cơ sở 2'],False
20260604_2,20260604,2,True,True,09g30,150,11,"['Cơ sở 1', 'Cơ sở 2']",True
20260604_3,20260604,3,True,True,13g00,150,2,['Cơ sở 2'],False
20260605_2,20260605,2,True,True,09g30,150,22,['Cơ sở 1'],False
20260605_3,20260605,3,True,True,13g00,150,30,['Cơ sở 1'],False
20260605_4,20260605,4,True,True,15g30,150,5,['Cơ sở 1'],False
20260608_1,20260608,1,True,True,07g00,150,2,[],False
20260608_2,20260608,2,True,True,09g30,150,33,['Cơ sở 1'],False
20260608_3,20260608,3,True,True,13g00,150,33,['Cơ sở 1'],False
20260608_4,20260608,4,True,True,15g30,150,7,['Cơ sở 1'],False
20260609_2,20260609,2,True,True,09g30,150,25,"['Cơ sở 1', 'Cơ sở 2']",True
20260609_3,20260609,3,True,True,13g00,150,15,['Cơ sở 2'],False
20260609_4,20260609,4,True,True,15g30,150,1,[],False
20260610_1,20260610,1,True,True,07g00,150,2,[],False
20260610_2,20260610,2,True,True,09g30,150,1,[],False
20260610_3,20260610,3,True,True,13g00,150,35,"['Cơ sở 1', 'Cơ sở 2']",True
20260610_4,20260610,4,True,True,15g30,150,1,[],False
20260611_1,20260611,1,True,True,07g00,150,1,[],False
20260611_3,20260611,3,True,True,13g00,150,31,"['Cơ sở 1', 'Cơ sở 2']",True
20260612_1,20260612,1,True,True,07g00,150,32,['Cơ sở 1'],False
20260612_2,20260612,2,True,True,09g30,150,6,['Cơ sở 1'],False
20260612_3,20260612,3,True,True,13g00,150,33,['Cơ sở 1'],False
20260612_4,20260612,4,True,True,15g30,150,22,['Cơ sở 1'],False
20260613_1,20260613,1,True,True,07g00,150,4,['Cơ sở 1'],False
20260613_2,20260613,2,True,True,09g30,150,8,"['Cơ sở 1', 'Cơ sở 2']",True
20260613_3,20260613,3,True,True,13g00,150,10,"['Cơ sở 1', 'Cơ sở 2']",True
20260613_4,20260613,4,True,True,15g30,150,10,"['Cơ sở 1', 'Cơ sở 2']",True
